GEOID10,Category
6075023200,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075980900,General Requests
6075023102,Street and Sidewalk Cleaning
6075023102,Sidewalk or Curb
6075023200,Sewer Issues
6075022600,Street and Sidewalk Cleaning
6075023102,Residential Building Request
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023400,SFHA Requests
6075023400,SFHA Requests
6075023400,SFHA Requests
6075980900,Abandoned Vehicle
6075023200,Sewer Issues
6075023200,Abandoned Vehicle
6075023200,Abandoned Vehicle
6075023200,Abandoned Vehicle
6075023200,Abandoned Vehicle
6075023200,Street and Sidewalk Cleaning
6075023200,General Requests
6075022600,Street and Sidewalk Cleaning
6075022600,Street and Sidewalk Cleaning
6075022600,Street and Sidewalk Cleaning
6075022600,Street and Sidewalk Cleaning
6075022600,Street and Sidewalk Cleaning
6075022600,Street and Sidewalk Cleaning
6075022600,Street and Sidewalk Cleaning
6075022600,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075023200,Streetlights
6075023102,Abandoned Vehicle
6075023200,Street and Sidewalk Cleaning
6075022600,Street and Sidewalk Cleaning
6075023102,Street Defects
6075023102,Street and Sidewalk Cleaning
6075980900,Street and Sidewalk Cleaning
6075980900,Street Defects
6075980900,Catch Basin Maintenance
6075980900,Tree Maintenance
6075023102,Sidewalk or Curb
6075023102,Sidewalk or Curb
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,Sidewalk or Curb
6075023102,Abandoned Vehicle
6075023102,Street and Sidewalk Cleaning
6075022600,Street and Sidewalk Cleaning
6075022600,Street and Sidewalk Cleaning
6075022600,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023200,General Requests
6075023102,Abandoned Vehicle
6075980900,Street Defects
6075023200,Street and Sidewalk Cleaning
6075023400,Street Defects
6075023102,Street and Sidewalk Cleaning
6075023102,Tree Maintenance
6075980900,Street and Sidewalk Cleaning
6075980900,Street and Sidewalk Cleaning
6075022600,Abandoned Vehicle
6075022600,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Sidewalk or Curb
6075023102,Tree Maintenance
6075022600,Street Defects
6075980900,Abandoned Vehicle
6075980900,Abandoned Vehicle
6075980900,Abandoned Vehicle
6075980900,Abandoned Vehicle
6075980900,Abandoned Vehicle
6075980900,Abandoned Vehicle
6075980900,Abandoned Vehicle
6075980900,Abandoned Vehicle
6075980900,Abandoned Vehicle
6075023102,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075061000,Abandoned Vehicle
6075061000,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,Sewer Issues
6075023102,General Requests
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,Tree Maintenance
6075023102,Street and Sidewalk Cleaning
