STATE,COUNTY_CODE,COUNTY,TRACT,pop_tot,insured,uninsured,pct_unins,pct_insur,med_age,age_undr25,age_25_64,age_65over,pct_undr25,pct_25_64,pct_65over,labor_frc,employed,unemployed,pct_empl,pct_unemp,married,pct_mar,white,pct_white,hisp,pct_hisp,med_income
Arizona,13,Maricopa County,61025,7948,7285,581,0.0738621917,0.9261378083,31.4,3220,4089,639,0.4051333669,0.5144690488,0.0803975843,3830,3503,245,0.9146214099,0.0639686684,3711,0.6755871109,5227,0.6576497232,1827,0.2298691495,73641
Arizona,13,Maricopa County,61026,5314,4699,605,0.1140648567,0.8859351433,34,2129,2644,541,0.4006398193,0.4975536319,0.1018065487,2479,2232,237,0.9003630496,0.0956030658,2263,0.5963109354,3920,0.7376740685,938,0.1765148664,54783
Arizona,13,Maricopa County,61027,4614,3971,576,0.1266769298,0.8733230702,37.3,1534,2482,598,0.3324664066,0.5379280451,0.1296055483,2490,2318,105,0.9309236948,0.0421686747,1882,0.5171750481,2868,0.6215864759,1366,0.2960554833,51525
Arizona,13,Maricopa County,61028,2536,2142,388,0.1533596838,0.8466403162,29.2,1076,1347,113,0.4242902208,0.5311514196,0.0445583596,1330,1188,136,0.8932330827,0.1022556391,853,0.481920904,1817,0.7164826498,304,0.119873817,48875
Arizona,13,Maricopa County,61029,4828,4274,537,0.111619206,0.888380794,34,1676,2569,583,0.3471416736,0.5321043911,0.1207539354,2382,2230,146,0.9361880772,0.0612930311,1830,0.501369863,3944,0.8169014085,570,0.118061309,50448
Arizona,13,Maricopa County,61030,8039,7579,447,0.0556939945,0.9443060055,30.8,3258,4282,499,0.4052742878,0.5326533151,0.0620723971,3668,3420,235,0.9323882225,0.0640676118,3673,0.6666061706,5949,0.7400174151,1202,0.1495210847,75527
Arizona,13,Maricopa County,61031,3965,3766,199,0.0501891551,0.9498108449,33.7,1606,2023,336,0.4050441362,0.5102143758,0.084741488,1906,1834,72,0.962224554,0.037775446,1534,0.5343086033,2478,0.6249684741,807,0.2035308953,78917
Arizona,13,Maricopa County,61032,5979,5429,527,0.0884822028,0.9115177972,29.2,2559,3098,322,0.427997993,0.5181468473,0.0538551597,2778,2506,249,0.902087833,0.0896328294,2166,0.5423134702,4461,0.7461113899,975,0.1630707476,61842
Arizona,13,Maricopa County,61033,6668,5753,915,0.1372225555,0.8627774445,32,2745,3491,432,0.4116676665,0.5235452909,0.0647870426,3455,3110,345,0.9001447178,0.0998552822,2926,0.5968992248,4777,0.7164067187,1382,0.2072585483,68750
Arizona,13,Maricopa County,61034,6455,5936,490,0.0762527233,0.9237472767,33.5,2538,3490,427,0.3931835786,0.5406661503,0.0661502711,3497,3247,237,0.9285101516,0.0677723763,2711,0.5597769977,4044,0.6264910922,1680,0.2602633617,69564
Arizona,13,Maricopa County,61035,7389,6540,801,0.1091131998,0.8908868002,35,2651,3865,873,0.3587765598,0.523074841,0.1181485993,3806,3432,326,0.901734104,0.0856542302,3245,0.5698981384,4834,0.6542157261,1438,0.1946136148,75075
